P1        	P2      	P3       	O            	D	std(D)	Z	BABA	ABBA	nloci	nboot	pdisc	notes
[CRL0030] 	[CUVN10]	[FLMO62] 	[AR,EN,DO,DU]	0.219	0.031	7.02	492.50	768.75	13280	200	0.11	test 9.145
[CRL0030] 	[CUVN10]	[FLSA185]	[AR,EN,DO,DU]	0.207	0.033	6.17	418.38	636.38	10644	200	0.11	test 9.146
[CRL0030] 	[CUVN10]	[FLCK216]	[AR,EN,DO,DU]	0.297	0.030	10.04	398.25	734.00	11757	200	0.12	test 9.147
[CRL0030] 	[CUVN10]	[FLAB109]	[AR,EN,DO,DU]	0.324	0.027	11.98	610.38	1196.38	16408	200	0.13	test 9.148
[CRL0030] 	[CUVN10]	[FLWO6]  	[AR,EN,DO,DU]	0.327	0.031	10.39	442.50	872.75	12742	200	0.12	test 9.149
[CRL0030] 	[CUVN10]	[FLSF54] 	[AR,EN,DO,DU]	0.284	0.025	11.20	665.25	1192.50	16400	200	0.13	test 9.150
[CRL0030] 	[CUVN10]	[FLCK18] 	[AR,EN,DO,DU]	0.278	0.031	8.88	486.12	859.88	12849	200	0.12	test 9.151
[CRL0030] 	[CUVN10]	[LALC2]  	[AR,EN,DO,DU]	0.255	0.025	10.42	702.25	1184.25	17058	200	0.13	test 9.152
[CRL0030] 	[CUVN10]	[FLSF33] 	[AR,EN,DO,DU]	0.251	0.028	8.96	486.88	813.38	12767	200	0.12	test 9.153
[CRL0030] 	[CUVN10]	[FLBA140]	[AR,EN,DO,DU]	0.239	0.028	8.62	751.50	1223.00	16816	200	0.13	test 9.154
[CRL0030] 	[CUCA4] 	[FLSF47] 	[AR,EN,DO,DU]	0.300	0.041	7.27	276.38	513.12	8113	200	0.11	test 9.155
[CRL0030] 	[CUCA4] 	[FLMO62] 	[AR,EN,DO,DU]	0.297	0.037	8.08	253.62	468.38	7956	200	0.11	test 9.156
[CRL0030] 	[CUCA4] 	[FLSA185]	[AR,EN,DO,DU]	0.216	0.048	4.50	223.62	346.62	6678	200	0.10	test 9.157
[CRL0030] 	[CUCA4] 	[FLCK216]	[AR,EN,DO,DU]	0.376	0.040	9.47	224.38	494.62	7562	200	0.11	test 9.158
[CRL0030] 	[CUCA4] 	[FLAB109]	[AR,EN,DO,DU]	0.363	0.032	11.52	345.62	739.38	9931	200	0.12	test 9.159
[CRL0030] 	[CUCA4] 	[FLWO6]  	[AR,EN,DO,DU]	0.447	0.036	12.39	209.50	548.75	7665	200	0.11	test 9.160
[CRL0030] 	[CUCA4] 	[FLSF54] 	[AR,EN,DO,DU]	0.342	0.032	10.62	350.62	714.88	9641	200	0.13	test 9.161
[CRL0030] 	[CUCA4] 	[FLCK18] 	[AR,EN,DO,DU]	0.374	0.036	10.37	245.88	539.12	7792	200	0.12	test 9.162
[CRL0030] 	[CUCA4] 	[LALC2]  	[AR,EN,DO,DU]	0.280	0.032	8.74	366.75	651.75	10032	200	0.12	test 9.163
[CRL0030] 	[CUCA4] 	[FLSF33] 	[AR,EN,DO,DU]	0.277	0.038	7.19	272.88	481.62	7607	200	0.11	test 9.164
[CRL0030] 	[CUCA4] 	[FLBA140]	[AR,EN,DO,DU]	0.264	0.033	7.98	405.12	695.62	9868	200	0.13	test 9.165
